Survai Seismik : 93PB			
Datum Lama : Genuk			
Sistem Koordinat : UTM				
Zone : 48 S				
Titik		xLama		yLama		xbaru		ybaru
93PB-BM.027	418177.779	9628666.740	418342.334	9628626.456
93PB-BM.028	417716.030	9629959.850	417880.859	9629919.614
93PB-BM.032	427494.800	9606141.230	427666.530	9606093.835
93PB-BM.033	428354.800	9605540.860	428526.117	9605493.186
93PB-BM.036	437159.010	9612495.000	437328.716	9612445.257
93PB-BM.038	434872.480	9612472.840	435041.595	9612422.867
93PB-BM.046	429931.590	9605213.050	430102.612	9605164.668
93PT-BM.200	437249.580	9612508.600	437419.291	9612458.669
93PT-BM.201	436722.070	9612366.140	436891.729	9612316.158
93PT-BM.202	436301.810	9612138.650	436471.412	9612088.682
93PT-BM.204	435212.130	9612216.490	435381.403	9612166.569
93PT-BM.206	433825.050	9612459.820	433993.856	9612409.793
93PT-BM.208	432645.630	9612682.530	432813.929	9612633.099
